id,track_name,popularity,track_id,duration_ms,album_name,release_date,total_tracks,artist_names,artist_ids,genre
907,Mas Que Nada - 2011 Rio Version,51,6eNHrgrgbMFQpQ5qFEPL6h,164200,Rio: Music From The Motion Picture,2011-01-01,13,"['Sérgio Mendes', 'Gracinha Leporace']","['65c5si0ePAwkOCn4M35Ho7', '4b53XvC9wtlLs8KOLEBkr6']",brazil
908,Left & Right,62,0rxEsBxxil046ZqipaCXle,154838,Left & Right,2022-10-14,1,"['Öwnboss', 'FAST BOY']","['37czgDRfGMvgRiUKHvnnhj', '56Qz2XwGj7FxnNKrfkWjnb']",brazil
909,Bongoloco,60,3k45oaugo4fin6M1KrtO8f,206250,Bongoloco,2023-01-20,4,['Bruno Furlan'],['6gssIbF04dCX3COZvyr0JF'],brazil
910,Weak,61,37uMiu52DbSIx3SJ3sGDow,202560,Promised Land,2024-05-24,16,"['Vintage Culture', 'Maverick Sabre', 'Tom Breu']","['28uJnu5EsrGml2tBd7y8ts', '0ukgrNYk51TkMQr0f2Br4Q', '4Y4jZlaPkgIlzMp6kmcr9h']",brazil
911,Move Your Body - RAIZHELL Remix,60,2eXBjkt4NlEI9430egVp1W,152280,Move Your Body (RAIZHELL Remix),2022-08-05,1,"['Öwnboss', 'Sevek', 'RAIZHELL']","['37czgDRfGMvgRiUKHvnnhj', '0aOIluXr131XqrXFwFCFGT', '24sVPKlhUfQ8rMyUg7qLUq']",brazil
912,Corpo e Canção - Club Mix,62,0fdnuaaMLkAJb3czxnwKxh,275409,Corpo e Canção (Club Mix),2024-03-15,1,"['Antdot', 'Maz', 'Letícia Fialho']","['3of9b8iUxyXtfnwwahfUNx', '6gYwbDKcqhLitCTlgF1oZn', '31ZnPMG6ywDdaBMnn1qkpN']",brazil
913,Sicko Drop,62,5T4lERmPqhO2ukZoGJ5sSr,147976,Sicko Drop,2021-03-12,2,"['KVSH', 'Schillist']","['2uGKgNuq7MnKksXiSO6HjB', '2qvWyc9Z0oHK156P65vH4d']",brazil
914,Be Someone (feat. Ray X Ben),62,0XMl0fVTh3PyPlwyJTn33n,166005,Be Someone (feat. Ray X Ben),2022-02-18,1,"['KVSH', 'Schillist', 'Benny Morrell']","['2uGKgNuq7MnKksXiSO6HjB', '2qvWyc9Z0oHK156P65vH4d', '1s4B6fb9iNflnlOFKIn5q9']",brazil
915,Infinity - Dubdogz & Bhaskar Edit,65,4ekDggjElGJX9kNSOtnbVf,196000,Infinity (Dubdogz & Bhaskar Edit),2020-01-31,1,"['Dubdogz', 'Bhaskar']","['4cdyqaBREB68H77QKCrKP1', '6kT18gnkVrCz8xJQcrib7L']",brazil
916,Just Like Home,3,1xOa14q0oqCiqHy7rXgc4L,263176,Just Like Home (Kevin de Vries Remix),2024-07-24,2,"['Vintage Culture', 'Yellowitz']","['28uJnu5EsrGml2tBd7y8ts', '3VnY2LVBNIFS6Xx8YUd2JQ']",brazil
917,Just Like Home - Kevin de Vries Remix,5,6UckF71HWN5rxwB3y7LHrd,302981,Just Like Home (Kevin de Vries Remix),2024-07-24,2,"['Vintage Culture', 'Yellowitz', 'Kevin de Vries']","['28uJnu5EsrGml2tBd7y8ts', '3VnY2LVBNIFS6Xx8YUd2JQ', '11aPF3sc8lDWNqPVInm4Zx']",brazil
